Region,Comuna,Apruebo,Rechazo,Total,Apruebo_per,Rechazo_per
BIOBÍO,TALCAHUANO,51933,15589,67522,76.91270993157787,23.087290068422146
BIOBÍO,TIRUA,2100,937,3037,69.1471847217649,30.852815278235102
BIOBÍO,TOME,17793,5568,23361,76.16540387825863,23.834596121741363
BIOBÍO,TUCAPEL,3939,1267,5206,75.66269688820591,24.337303111794085
BIOBÍO,YUMBEL,5246,2149,7395,70.93982420554428,29.060175794455713
COQUIMBO,ANDACOLLO,5450,582,6032,90.35145888594165,9.648541114058355
COQUIMBO,CAMIÑA,293,207,500,58.599999999999994,41.4
COQUIMBO,COLTAUCO,6177,1340,7517,82.17373952374616,17.826260476253825
COQUIMBO,COPIAPO,51042,9635,60677,84.12083656080557,15.879163439194425
COQUIMBO,ILLAPEL,11166,1382,12548,88.9862926362767,11.013707363723302
COQUIMBO,LA HIGUERA,1345,206,1551,86.71824629271437,13.281753707285624
COQUIMBO,LA SERENA,73254,16536,89790,81.58369528900768,18.416304710992314
COQUIMBO,LOS VILOS,7679,1153,8832,86.94519927536231,13.05480072463768
COQUIMBO,MONTE PATRIA,9845,1275,11120,88.5341726618705,11.465827338129495
COQUIMBO,OVALLE,34181,5898,40079,85.28406397365204,14.715936026347961
COQUIMBO,PAIHUANO,1958,442,2400,81.58333333333333,18.416666666666668
COQUIMBO,PUNITAQUI,3627,505,4132,87.7783155856728,12.221684414327202
COQUIMBO,RIO HURTADO,1353,266,1619,83.57010500308833,16.429894996911674
COQUIMBO,SALAMANCA,8984,1470,10454,85.93839678591927,14.061603214080733
COQUIMBO,VICUÑA,9483,1308,10791,87.87878787878788,12.121212121212121
LA ARAUCANÍA,ANGOL,12017,7349,19366,62.052049984508926,37.94795001549107
LA ARAUCANÍA,CAÑETE,7038,3405,10443,67.39442688882505,32.60557311117495
LA ARAUCANÍA,CHIMBARONGO,11218,2598,13816,81.19571511291257,18.804284887087437
LA ARAUCANÍA,COLINA,32524,16625,49149,66.17428635374067,33.82571364625934
LA ARAUCANÍA,COYHAIQUE,17165,5243,22408,76.6021063905748,23.397893609425203
LA ARAUCANÍA,CUNCO,4090,1914,6004,68.12125249833444,31.878747501665554
LA ARAUCANÍA,CURANILAHUE,9807,3229,13036,75.23013194231359,24.769868057686406
LA ARAUCANÍA,ERCILLA,1521,1020,2541,59.85832349468713,40.141676505312866
LA ARAUCANÍA,FREIRE,5198,2401,7599,68.40373733385971,31.59626266614028
LA ARAUCANÍA,GALVARINO,2472,995,3467,71.30083645803288,28.69916354196712
LA ARAUCANÍA,GORBEA,3290,2084,5374,61.220692221808704,38.77930777819129
LA ARAUCANÍA,LAUTARO,8037,4783,12820,62.691107644305774,37.308892355694226
LA ARAUCANÍA,LONCOCHE,6125,2072,8197,74.72245943637917,25.27754056362084
LA ARAUCANÍA,LONQUIMAY,1963,1318,3281,59.829320329167935,40.170679670832065
LA ARAUCANÍA,LOS SAUCES,1409,1050,2459,57.29971533143554,42.70028466856446
LA ARAUCANÍA,LUMACO,1711,1206,2917,58.65615358244772,41.343846417552285
LA ARAUCANÍA,MELIPEUCO,1542,654,2196,70.21857923497268,29.78142076502732
LA ARAUCANÍA,ÑIQUEN,2003,1228,3231,61.993190962550294,38.006809037449706
LA ARAUCANÍA,PADRE LAS CASAS,16769,6977,23746,70.61820938263287,29.381790617367137
LA ARAUCANÍA,PERQUENCO,1778,757,2535,70.13806706114399,29.861932938856018
LA ARAUCANÍA,PITRUFQUEN,5566,2947,8513,65.38235639610008,34.617643603899914
LA ARAUCANÍA,PUCON,8176,3140,11316,72.25167903852952,27.748320961470483
LA ARAUCANÍA,PUREN,2657,1583,4240,62.66509433962264,37.33490566037736
LA ARAUCANÍA,RENAICO,2640,1080,3720,70.96774193548387,29.03225806451613
LA ARAUCANÍA,SAAVEDRA,2960,1000,3960,74.74747474747475,25.252525252525253
LA ARAUCANÍA,TEMUCO,78332,38257,116589,67.18644125946702,32.81355874053298
LA ARAUCANÍA,TEODORO SCHMIDT,3026,1742,4768,63.46476510067114,36.53523489932886
LA ARAUCANÍA,TOLTEN,2126,1213,3339,63.67175801138065,36.32824198861935
LA ARAUCANÍA,TRAIGUEN,4144,2189,6333,65.4350228959419,34.56497710405811
LA ARAUCANÍA,VICTORIA,7060,5193,12253,57.61854239778014,42.38145760221986
LA ARAUCANÍA,VILCUN,5971,3022,8993,66.39608584454577,33.60391415545424
LA ARAUCANÍA,VILLARRICA,15087,6534,21621,69.77938115720826,30.22061884279173
LIB. GRAL. BERNARDO O'HIGGINS,CHANCO,1713,1058,2771,61.81883796463371,38.18116203536629
LIB. GRAL. BERNARDO O'HIGGINS,CHILLAN VIEJO,8076,3142,11218,71.99144232483509,28.008557675164912
LIB. GRAL. BERNARDO O'HIGGINS,COCHRANE,892,282,1174,75.97955706984668,24.020442930153322
LIB. GRAL. BERNARDO O'HIGGINS,COIHUECO,4420,2737,7157,61.75771971496437,38.242280285035626
LIB. GRAL. BERNARDO O'HIGGINS,COLLIPULLI,5159,3075,8234,62.65484576147681,37.3451542385232
LIB. GRAL. BERNARDO O'HIGGINS,DOÑIHUE,7987,1393,9380,85.1492537313433,14.850746268656717
LIB. GRAL. BERNARDO O'HIGGINS,GRANEROS,12968,2230,15198,85.32701671272535,14.67298328727464
LIB. GRAL. BERNARDO O'HIGGINS,LA ESTRELLA,1158,315,1473,78.61507128309573,21.384928716904277
LIB. GRAL. BERNARDO O'HIGGINS,LAS CABRAS,7187,1426,8613,83.4436317194938,16.556368280506213
LIB. GRAL. BERNARDO O'HIGGINS,LITUECHE,1971,547,2518,78.27640984908658,21.723590150913424
LIB. GRAL. BERNARDO O'HIGGINS,LOLOL,1815,593,2408,75.37375415282392,24.62624584717608
LIB. GRAL. BERNARDO O'HIGGINS,MACHALI,16398,4461,20859,78.61354810873004,21.386451891269957
LIB. GRAL. BERNARDO O'HIGGINS,MALLOA,4246,1149,5395,78.70250231696015,21.29749768303985
LIB. GRAL. BERNARDO O'HIGGINS,MARCHIGUE,2408,499,2907,82.83453732370141,17.16546267629859
LIB. GRAL. BERNARDO O'HIGGINS,MOSTAZAL,9673,1712,11385,84.96267018006148,15.037329819938517
LIB. GRAL. BERNARDO O'HIGGINS,NACIMIENTO,7267,3060,10327,70.3689357993609,29.631064200639102
LIB. GRAL. BERNARDO O'HIGGINS,NANCAGUA,5840,1187,7027,83.10801195389213,16.89198804610787
LIB. GRAL. BERNARDO O'HIGGINS,OLIVAR,5121,1336,6457,79.30927675391048,20.690723246089515
